station_id,uid,name,city,country,provider,lat,lon,params_json,last_update,meta_json
aqicn--543139,-543139,Kabupaten Nabire,Kabupaten Nabire,ID,AQICN,-3.3633499145507812,135.50100708007812,[],,"{""uid"": -543139, ""name"": ""Kabupaten Nabire"", ""city"": ""Kabupaten Nabire"", ""lat"": -3.3633499145507812, ""lon"": 135.50100708007812}"
aqicn--416884,-416884,Kabupaten Indragiri Hilir,Kabupaten Indragiri Hilir,ID,AQICN,-0.3120580017566681,103.16100311279297,[],,"{""uid"": -416884, ""name"": ""Kabupaten Indragiri Hilir"", ""city"": ""Kabupaten Indragiri Hilir"", ""lat"": -0.3120580017566681, ""lon"": 103.16100311279297}"
aqicn--519118,-519118,Kabupaten Sintang Baning Kota,Kabupaten Sintang Baning Kota,ID,AQICN,0.06317199766635895,111.49700164794922,[],,"{""uid"": -519118, ""name"": ""Kabupaten Sintang Baning Kota"", ""city"": ""Kabupaten Sintang Baning Kota"", ""lat"": 0.06317199766635895, ""lon"": 111.49700164794922}"
aqicn--531679,-531679,KBN Marunda Jakarta Utara,KBN Marunda Jakarta Utara,ID,AQICN,-6.108980178833008,106.94400024414062,[],,"{""uid"": -531679, ""name"": ""KBN Marunda Jakarta Utara"", ""city"": ""KBN Marunda Jakarta Utara"", ""lat"": -6.108980178833008, ""lon"": 106.94400024414062}"
aqicn--532006,-532006,Kabupaten Bengkayang Sebalo,Kabupaten Bengkayang Sebalo,ID,AQICN,0.8644959926605225,109.4990005493164,[],,"{""uid"": -532006, ""name"": ""Kabupaten Bengkayang Sebalo"", ""city"": ""Kabupaten Bengkayang Sebalo"", ""lat"": 0.8644959926605225, ""lon"": 109.4990005493164}"
aqicn--519130,-519130,Kabupaten Pasuruan Raci,Kabupaten Pasuruan Raci,ID,AQICN,-7.610300064086914,112.83000183105469,[],,"{""uid"": -519130, ""name"": ""Kabupaten Pasuruan Raci"", ""city"": ""Kabupaten Pasuruan Raci"", ""lat"": -7.610300064086914, ""lon"": 112.83000183105469}"
aqicn--517159,-517159,Kabutapen Penajam Paser Utara Nipah Nipah,Kabutapen Penajam Paser Utara Nipah Nipah,ID,AQICN,-1.310829997062683,116.7249984741211,[],,"{""uid"": -517159, ""name"": ""Kabutapen Penajam Paser Utara Nipah Nipah"", ""city"": ""Kabutapen Penajam Paser Utara Nipah Nipah"", ""lat"": -1.310829997062683, ""lon"": 116.7249984741211}"
aqicn--519016,-519016,Kota Madiun Taman,Kota Madiun Taman,ID,AQICN,-7.6532697677612305,111.52300262451172,[],,"{""uid"": -519016, ""name"": ""Kota Madiun Taman"", ""city"": ""Kota Madiun Taman"", ""lat"": -7.6532697677612305, ""lon"": 111.52300262451172}"
aqicn-13654,13654,"Sorong, Indonesia",Sorong,ID,AQICN,-0.8634105,131.2544805,[],,"{""uid"": 13654, ""name"": ""Sorong, Indonesia"", ""city"": ""Sorong"", ""lat"": -0.8634105, ""lon"": 131.2544805}"
aqicn--416782,-416782,Kabupaten Barito Selatan Sanggu,Kabupaten Barito Selatan Sanggu,ID,AQICN,-1.6793400049209595,114.90799713134766,[],,"{""uid"": -416782, ""name"": ""Kabupaten Barito Selatan Sanggu"", ""city"": ""Kabupaten Barito Selatan Sanggu"", ""lat"": -1.6793400049209595, ""lon"": 114.90799713134766}"
aqicn--472492,-472492,Kabupaten Indramayu Margadadi,Kabupaten Indramayu Margadadi,ID,AQICN,-6.327040195465088,108.3219985961914,[],,"{""uid"": -472492, ""name"": ""Kabupaten Indramayu Margadadi"", ""city"": ""Kabupaten Indramayu Margadadi"", ""lat"": -6.327040195465088, ""lon"": 108.3219985961914}"
aqicn--520231,-520231,Kabupaten Muara Enim,Kabupaten Muara Enim,ID,AQICN,-3.648560047149658,103.7750015258789,[],,"{""uid"": -520231, ""name"": ""Kabupaten Muara Enim"", ""city"": ""Kabupaten Muara Enim"", ""lat"": -3.648560047149658, ""lon"": 103.7750015258789}"
aqicn--399724,-399724,Bukit Bintang,Bukit Bintang,ID,AQICN,3.146015,101.710211,[],,"{""uid"": -399724, ""name"": ""Bukit Bintang"", ""city"": ""Bukit Bintang"", ""lat"": 3.146015, ""lon"": 101.710211}"
aqicn-8646,8646,"Indrapuri, Indonesia",Indrapuri,ID,AQICN,5.404,95.475,[],,"{""uid"": 8646, ""name"": ""Indrapuri, Indonesia"", ""city"": ""Indrapuri"", ""lat"": 5.404, ""lon"": 95.475}"
aqicn--416827,-416827,Kabupaten Bekasi Sukamahi,Kabupaten Bekasi Sukamahi,ID,AQICN,-6.363800048828125,107.1719970703125,[],,"{""uid"": -416827, ""name"": ""Kabupaten Bekasi Sukamahi"", ""city"": ""Kabupaten Bekasi Sukamahi"", ""lat"": -6.363800048828125, ""lon"": 107.1719970703125}"
aqicn--541945,-541945,Kabupaten Nagan Raya,Kabupaten Nagan Raya,ID,AQICN,4.082280158996582,96.16840362548828,[],,"{""uid"": -541945, ""name"": ""Kabupaten Nagan Raya"", ""city"": ""Kabupaten Nagan Raya"", ""lat"": 4.082280158996582, ""lon"": 96.16840362548828}"
